destination_path,definition,numerical_literal_status
src/dc_restoration/plotting/schematic.py,ensure_dirs,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,setup_style,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,read_csv,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,bool_series,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,add_panel_label,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,export_figure,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,norm_transform,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,data_bounds_for_region,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,draw_edges,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,anchor_zone_ellipse,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,draw_assets,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,box_to_global,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,draw_polyline,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,draw_module_schematic,unchanged numerical literals
src/dc_restoration/plotting/schematic.py,make_figure1,unchanged numerical literals
src/dc_restoration/policies/training.py,_read_rl_log,unchanged numerical literals
src/dc_restoration/policies/training.py,_rl_budget_complete,unchanged numerical literals
src/dc_restoration/policies/training.py,_resolve,unchanged numerical literals
src/dc_restoration/policies/training.py,_load_yaml,unchanged numerical literals
src/dc_restoration/policies/training.py,_write_csv,unchanged numerical literals
src/dc_restoration/policies/training.py,_dirs,unchanged numerical literals
src/dc_restoration/policies/training.py,_atomic_checkpoint_copy,unchanged numerical literals
src/dc_restoration/policies/training.py,HarmonizedObservationAdapter,unchanged numerical literals
src/dc_restoration/policies/training.py,_lookahead_cost,unchanged numerical literals
src/dc_restoration/policies/training.py,_build_dataset,unchanged numerical literals
src/dc_restoration/policies/training.py,_graph_config,unchanged numerical literals
src/dc_restoration/policies/training.py,_make_true_gnn,unchanged numerical literals
src/dc_restoration/policies/training.py,_bc_metrics,unchanged numerical literals
src/dc_restoration/policies/training.py,_save_encoder_bc,unchanged numerical literals
src/dc_restoration/policies/training.py,_train_bc,unchanged numerical literals
src/dc_restoration/policies/training.py,_load_encoder_bc,unchanged numerical literals
src/dc_restoration/policies/training.py,_graph_dependence,unchanged numerical literals
src/dc_restoration/policies/training.py,HarmonizedTransition,unchanged numerical literals
src/dc_restoration/policies/training.py,_entropy_coefficient,unchanged numerical literals
src/dc_restoration/policies/training.py,_spatial_index,unchanged numerical literals
src/dc_restoration/policies/training.py,_encoder_state_arrays,unchanged numerical literals
src/dc_restoration/policies/training.py,_policy_action,unchanged numerical literals
src/dc_restoration/policies/training.py,_rollout_harmonized,unchanged numerical literals
src/dc_restoration/policies/training.py,_stack_harmonized_transitions,unchanged numerical literals
src/dc_restoration/policies/training.py,_save_rl_checkpoint,unchanged numerical literals
src/dc_restoration/policies/training.py,_load_bc_policy,unchanged numerical literals
src/dc_restoration/policies/training.py,_greedy_reference,unchanged numerical literals
src/dc_restoration/policies/training.py,_development_manifest,unchanged numerical literals
src/dc_restoration/policies/training.py,_periodic_evaluation,unchanged numerical literals
src/dc_restoration/policies/training.py,_train_rl,unchanged numerical literals
src/dc_restoration/policies/training.py,_load_rl_policy_path,unchanged numerical literals
src/dc_restoration/policies/training.py,_load_context,unchanged numerical literals
src/dc_restoration/policies/training.py,_load_dataset,unchanged numerical literals
src/dc_restoration/testbed/benchmark.py,_make_dirs,unchanged numerical literals
src/dc_restoration/testbed/benchmark.py,_clean_bus,unchanged numerical literals
src/dc_restoration/testbed/benchmark.py,_load_raw_distribution,unchanged numerical literals
src/dc_restoration/testbed/benchmark.py,convert_smartds_candidate,unchanged numerical literals
src/dc_restoration/testbed/benchmark.py,build_dc_anchor_overlay,unchanged numerical literals
src/dc_restoration/testbed/benchmark.py,write_conversion_outputs,unchanged numerical literals
src/dc_restoration/testbed/benchmark.py,CachedRestorationSimulator,unchanged numerical literals
src/dc_restoration/testbed/benchmark.py,sample_damage_edges,unchanged numerical literals
src/dc_restoration/testbed/benchmark.py,generate_benchmark_scenarios,unchanged numerical literals
src/dc_restoration/anchors/controller.py,ResourceConfig,unchanged numerical literals
src/dc_restoration/anchors/controller.py,ResourceSupportModel,unchanged numerical literals
